ID,TriggerType,TriggerParam,ActionType,ActionParam,Once
1,OpenChest,1,DropItem,coin,TRUE
2,OpenChest,2,DropItem,coin,TRUE
3,OpenChest,3,DropItem,medal,TRUE
4,OpenChest,4,DropItem,coin,TRUE
5,OpenChest,5,DropItem,coin,TRUE
6,OpenChest,6,DropItem,coin,TRUE
7,OpenChest,7,DropItem,medal,TRUE
8,OpenChest,8,DropItem,coin,TRUE
9,OpenChest,9,DropItem,medal,TRUE
10,OpenChest,10,DropItem,coin,TRUE
11,OpenChest,11,DropItem,coin,TRUE
12,OpenChest,12,DropItem,coin,TRUE
13,OpenChest,13,DropItem,medal,TRUE
14,OpenChest,14,DropItem,coin,TRUE
15,OpenChest,15,DropItem,coin,TRUE
16,OpenChest,16,DropItem,coin,TRUE
17,OpenChest,17,DropItem,coin,TRUE
